account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300039,Z3-47(3),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.53,0.54,0.41,0.94,0.73,0.48,0.77,0.62,0.33,0.85,0.85,0.57,0.47,0.54,0.23,0.55,0.65,1.04,0.51,0.55,0.74,0.78,0.39,0.45,0.81,0.83,0.48,0.67,0.8,0.35,0.71
4300016,Z3-47(4),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.13,0.21,0.41,0.23,0.37,0.15,0.35,0.25,0.24,0.26,0.14,0.14,0.04,0.07,0.14,0.26,0.05,0.12,0.14,0.06,0.14,0.24,0.15,0.34,0.25,0.21,0.32,0.18,0.28,0.22,0.15
4300018,Z3-47(5),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.5,0.48,0.45,0.52,0.48,0.48,0.48,0.49,0.51,0.5,0.86,0.21,0.22,0.22,0.22,0.22,0.23,0.48,0.23,0.22,0.23,0.22,0.22,0.23,0.44,0.23,0.23,0.23,0.23,0.23,0.22
4300051,Z3-47(6),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.26,0.33,0.4,0.46,0.46,0.3,0.4,0.47,0.61,0.14,0.4,0.37,0.6,1.22,0.37,0.4,0.7,0.43,0.63,0.52,0.56,0.61,3.66,0.38,0.48,0.47,0.53,0.6,0.39,0.51,0.48
4300182,D-48 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Jan-26,2026,4.4,1.24,1.38,1.01,1,0.88,1.32,1.45,0.98,0.93,1.21,0.86,1.12,1.22,1,0.99,1.02,1.06,0.97,0.97,1.27,1.19,1.18,0.97,1.03,0.86,0.9,0.79,0.73,0.68,0.83
4300141,D 48-Building Common,L4,Zone_03_(A),D-48 Building Bulk Meter,D_Building_Common,Jan-26,2026,0.01,0.02,0,0.01,0.03,0.02,0.01,0.01,0,0,0.03,0.02,0.01,0.01,0.02,0,0,0,0.02,0.03,0.01,0.02,0,0.01,0.02,0,0.03,0.01,0.02,0,0
4300117,Z3-48(1),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.71,0.9,0.84,0.67,0.63,0.57,0.96,0.98,0.53,0.61,0.73,0.5,0.77,0.6,0.64,0.65,0.79,0.58,0.61,0.52,0.72,0.73,0.67,0.48,0.41,0.4,0.39,0.4,0.39,0.4,0.38
4300123,Z3-48(2),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0.23,0.12,0.1,0,0,0,0
4300040,Z3-48(3),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.21,0.33,0.27,0.19,0.24,0.21,0.22,0.26,0.3,0.2,0.3,0.24,0.26,0.37,0.21,0.34,0.08,0.35,0.21,0.25,0.38,0.28,0.17,0.27,0.19,0.23,0.34,0.38,0.29,0.29,0.25
4300131,Z3-48(4),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Jan-26,2026,1.13,0,0.29,0.15,0.12,0.1,0.16,0.21,0.15,0.16,0.16,0.12,0.09,0.27,0.13,0.02,0.16,0.16,0.16,0.14,0.18,0.13,0.35,0.22,0.2,0.13,0.05,0,0.04,0,0.22
4300048,Z3-48(5),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
