account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300141,D 48-Building Common,L4,Zone_03_(A),D-48 Building Bulk Meter,D_Building_Common,Feb-26,2026,0.01,0.02,0.01,0.03,0.01,0,0,0.02,0.07,0.01,0.03,0.02,0,0,0.02,0.01,0.04,0,0.02,0,0.01,0,0.01,0.02,0.01,0.01,0,0,0,0,0
4300117,Z3-48(1),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.39,0.39,0.41,0.38,0.42,0.38,0.37,0.38,0.36,0.41,0.36,0.36,0.38,0.37,0.36,0.38,0.36,0.37,0.37,0.36,0.37,0.36,0.4,0.38,0.35,0.35,0.35,0.34,0,0,0
4300123,Z3-48(2),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.07,0.1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300040,Z3-48(3),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.25,0.27,0.2,0.26,0.36,0.2,0.29,0.22,0.19,0.22,0.44,0.27,0.23,0.31,0.2,0.2,0.18,0.3,0.25,0.25,0.35,0.24,0.24,0.22,0.3,0.35,0.32,0.21,0,0,0
4300131,Z3-48(4),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.17,0.09,0.19,0.17,0.21,0,0,0.13,0.1,0.12,0.23,0.18,0.31,0.28,0.12,0.14,0.1,0.18,0.21,0.15,0.15,0.2,0.23,0.14,0.21,0.18,0.34,0.21,0,0,0
4300048,Z3-48(5),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300041,Z3-48(6),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0
4300183,D-49 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Feb-26,2026,2,2.42,2.06,1.68,1.76,1.41,1.46,2.54,3.18,3.62,3.29,3.35,1.97,1.56,1.78,2.4,2.26,5.12,2.59,2.13,2.09,2.47,2.18,1.54,2.22,2.33,3.74,1.95,0,0,0
4300140,D 49-Building Common,L4,Zone_03_(A),D-49 Building Bulk Meter,D_Building_Common,Feb-26,2026,0.02,0.02,0.01,0.01,0.01,0,0,0.02,0.01,0.02,0.01,0.02,0,0,0,0.03,0.02,0.22,0,0,0.01,0.01,0.02,0.01,0.02,0,0.02,0,0,0,0
4300010,Z3-049(4),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.06,0.02,0,0,0,0,0,0,0,0,0,0,0,0.08,0.05,0.53,0.49,0.61,0.51,0.63,0.55,0.63,0.01,0,0,0,0,0,0,0,0
4300107,Z3-49(1),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.43,0.49,0.28,0.42,0.46,0.16,0.2,0.47,0.41,0.46,0.34,0.47,0.24,0.15,0.43,0.48,0.37,0.35,0.46,0.2,0.23,0.48,0.42,0.26,0.52,0.43,0.2,0.14,0,0,0
4300108,Z3-49(2),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.28,0.57,0.24,0.21,0.2,0.2,0.2,0.73,1.75,1.78,1.73,1.76,0.68,0.22,0.19,0.19,0.19,0.19,0.18,0.2,0.2,0.17,0.09,0.07,0.06,0.06,0.07,0.05,0,0,0
4300004,Z3-49(3),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.31,0.51,0.53,0.17,0,0,0.13,0.64,0.31,0.52,0.45,0.33,0.31,0.43,0.34,0.28,0.4,0.25,0.33,0.41,0.33,0.45,0.36,0.37,0.26,0.44,0.25,0.39,0,0,0
4300053,Z3-49(5),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0.05,0.55,0.44,0.32,0.54,0,0,0
4300061,Z3-49(6),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.91,0.85,0.99,0.9,1.12,1.05,0.96,0.77,0.76,0.92,0.8,0.83,0.71,0.7,0.79,0.9,0.81,0.71,1.13,0.71,0.78,0.74,1.28,0.84,0.81,0.98,2.93,0.86,0,0,0
4300184,D-50 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Feb-26,2026,1.27,1.04,1.05,0.48,0.69,0.83,1.8,1.26,1.15,1.01,1.29,1.42,1.46,0.7,1.38,0.62,1,0.82,1.34,1.01,1.21,1.94,0.84,1.1,1.47,1.46,1.59,1.99,0,0,0
