account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300141,D 48-Building Common,L4,Zone_03_(A),D-48 Building Bulk Meter,D_Building_Common,Mar-26,2026,0.02,0.01,0.04,0,0.01,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300117,Z3-48(1),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.35,0.34,0.34,0.33,0.35,0.33,0.34,0.34,0.34,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300123,Z3-48(2),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300040,Z3-48(3),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.34,0.22,0.3,0.4,0.36,0.38,0.23,0.26,0.22,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300131,Z3-48(4),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.16,0.12,0.3,0.17,0.22,0.26,0.25,0.15,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300048,Z3-48(5),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300041,Z3-48(6),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0.1,1.42,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300183,D-49 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Mar-26,2026,2.03,1.91,1.75,2.35,1.76,1.73,1.49,1.72,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300140,D 49-Building Common,L4,Zone_03_(A),D-49 Building Bulk Meter,D_Building_Common,Mar-26,2026,0.01,0.04,0.03,0.02,0.03,0,0,0,0.06,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300010,Z3-049(4),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
